# Time	KE	PE	Total
0.960000	4.050000e-03	4.500000e-02	4.905000e-02
0.970000	4.050000e-03	4.500000e-02	4.905000e-02
0.980000	4.050000e-03	4.500000e-02	4.905000e-02
0.990000	3.200000e-03	4.805000e-02	5.125000e-02
1.000000	3.200000e-03	4.805000e-02	5.125000e-02
1.010000	3.200000e-03	4.805000e-02	5.125000e-02
1.020000	2.450000e-03	4.805000e-02	5.050000e-02
1.030000	2.450000e-03	4.805000e-02	5.050000e-02
1.040000	2.450000e-03	4.805000e-02	5.050000e-02
1.050000	1.800000e-03	4.805000e-02	4.985000e-02
1.060000	1.800000e-03	4.805000e-02	4.985000e-02
1.070000	1.800000e-03	4.805000e-02	4.985000e-02
1.080000	1.250000e-03	4.805000e-02	4.930000e-02
1.090000	1.250000e-03	4.805000e-02	4.930000e-02
1.100000	1.250000e-03	4.805000e-02	4.930000e-02
1.110000	1.250000e-03	4.805000e-02	4.930000e-02
1.120000	8.000000e-04	4.805000e-02	4.885000e-02
1.130000	8.000000e-04	4.805000e-02	4.885000e-02
1.140000	8.000000e-04	4.805000e-02	4.885000e-02
1.150000	4.500000e-04	4.805000e-02	4.850000e-02
1.160000	4.500000e-04	4.805000e-02	4.850000e-02
1.170000	4.500000e-04	4.805000e-02	4.850000e-02
1.180000	2.000000e-04	5.120000e-02	5.140000e-02
1.190000	2.000000e-04	5.120000e-02	5.140000e-02
1.200000	2.000000e-04	5.120000e-02	5.140000e-02
1.210000	5.000000e-05	5.120000e-02	5.125000e-02
1.220000	5.000000e-05	5.120000e-02	5.125000e-02
1.230000	5.000000e-05	5.120000e-02	5.125000e-02
1.240000	0.000000e+00	5.120000e-02	5.120000e-02
1.250000	0.000000e+00	5.120000e-02	5.120000e-02
1.260000	0.000000e+00	5.120000e-02	5.120000e-02
1.270000	5.000000e-05	5.120000e-02	5.125000e-02
1.280000	5.000000e-05	5.120000e-02	5.125000e-02
1.290000	5.000000e-05	5.120000e-02	5.125000e-02
1.300000	5.000000e-05	5.120000e-02	5.125000e-02
1.310000	2.000000e-04	5.120000e-02	5.140000e-02
1.320000	2.000000e-04	4.805000e-02	4.825000e-02
1.330000	2.000000e-04	4.805000e-02	4.825000e-02
1.340000	4.500000e-04	4.805000e-02	4.850000e-02
1.350000	4.500000e-04	4.805000e-02	4.850000e-02
1.360000	4.500000e-04	4.805000e-02	4.850000e-02
1.370000	8.000000e-04	4.805000e-02	4.885000e-02
1.380000	8.000000e-04	4.805000e-02	4.885000e-02
1.390000	8.000000e-04	4.805000e-02	4.885000e-02
1.400000	1.250000e-03	4.805000e-02	4.930000e-02
1.410000	1.250000e-03	4.805000e-02	4.930000e-02
1.420000	1.250000e-03	4.805000e-02	4.930000e-02
1.430000	1.800000e-03	4.805000e-02	4.985000e-02
1.440000	1.800000e-03	4.805000e-02	4.985000e-02
1.450000	1.800000e-03	4.805000e-02	4.985000e-02
1.460000	1.800000e-03	4.805000e-02	4.985000e-02
1.470000	2.450000e-03	4.805000e-02	5.050000e-02
1.480000	2.450000e-03	4.805000e-02	5.050000e-02
1.490000	2.450000e-03	4.805000e-02	5.050000e-02
1.500000	3.200000e-03	4.805000e-02	5.125000e-02
1.510000	3.200000e-03	4.805000e-02	5.125000e-02
1.520000	3.200000e-03	4.500000e-02	4.820000e-02
1.530000	4.050000e-03	4.500000e-02	4.905000e-02
1.540000	4.050000e-03	4.500000e-02	4.905000e-02
