time energy a1x a1y a1z a2x a2y a2z a3x a3y a3z
0.0 0.012615421457414336 0.1 0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0
0.01 0.012615421457414336 0.1 0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0
0.02 0.012614988059117479 0.09999899498644943 4.9584146042530586e-08 5.3074038219858e-12 3.464188043419275e-06 0.9999964910238208 -1.754443812451711e-11 0.9999975406514261 3.459231529868989e-06 -1.1740729916054349e-11
0.03 0.012614121306079638 0.09999698494897302 1.487090116845946e-07 1.5922523716183076e-11 1.0392490474176591e-05 0.9999894731842031 -5.263274191480426e-11 0.9999926220383104 1.037762527605901e-05 -3.522186015070261e-11
0.04 0.012612821285406872 0.09999396986682044 2.972877457055323e-07 3.184598418304318e-11 2.078475998298912e-05 0.9999789467066234 -1.0526400931465394e-10 0.9999852443287139 2.0755042613781333e-05 -7.044283559243247e-11
0.05 0.012611088127744002 0.09998994970886663 4.951900754203431e-07 5.3078704626008375e-11 3.464077561353071e-05 0.9999649119292864 -1.7543690458698963e-10 0.9999754077747203 3.459127561219327e-05 -1.1740282357397547e-10
0.06 0.012608922007257509 0.09998492443361248 7.422423117103838e-07 7.962189935151185e-11 5.1960242771209586e-05 0.999947369303112 -2.631496409666311e-10 0.9999631127124258 5.188604704227384e-05 -1.761006618306027e-10
0.07 0.012606323141612686 0.0999788939891856 1.0382273556847066e-06 1.114770775689777e-10 7.274279323543284e-05 0.9999263193917184 -3.6839987657688573e-10 0.9999483595619271 7.263901038693718e-05 -2.4653478911118576e-10
0.08 0.012603291791945168 0.09997185831334124 1.3828847070587735e-06 1.4864607808529046e-10 9.698798517445567e-05 0.999901762871401 -4.911847491240182e-10 0.999931148827305 9.68497498536787e-05 -3.2870340130330966e-10
0.09 0.012599828262826742 0.09996381733346357 1.7759104741291165e-06 1.9113101726309084e-10 0.00012469530316321434 0.999873700531107 -6.315011187585371e-10 0.9999114810966053 0.0001245177803897539 -4.22604503474977e-10
0.1 0.012595932902225389 0.09995477096656705 2.2169573854827207e-06 2.3893434106247996e-10 0.0001558641582046806 0.9998421332724062 -7.893452037832647e-10 0.9998893570418164 0.0001556425477004103 -5.282357190550258e-10
0.11 0.01259160610145978 0.09994471911929793 2.705634803319701e-06 2.9205879034654986e-10 0.00019049388775340195 0.9998070621094568 -9.647128755563281e-10 0.9998647774188436 0.00019022342826901031 -6.455943071803638e-10
0.12 0.01258684829514799 0.09993366168793617 3.2415087385453956e-06 3.5050741822861825e-10 0.00022858375574282344 0.9997684881689675 -1.1575995544077509e-09 0.9998377430674809 0.00022825972937996417 -7.746773708627863e-10
0.13 0.012581659961150621 0.09992159855839733 3.824101867389018e-06 4.142835727249938e-10 0.00027013295261493417 0.9997264126901556 -1.368000105556044e-09 0.9998082549113781 0.0002697506891442998 -9.15481752905567e-10
0.14 0.012576041620508141 0.09990852960623482 4.452893549843767e-06 4.833909314494456e-10 0.000315140595353678 0.9996808370247007 -1.5959088564554411e-09 0.9997763139580069 0.00031469547652781746 -1.0680037410004672e-09
0.15 0.012569993837372784 0.09989445469664227 5.127319849668188e-06 5.57833432224264e-10 0.00036360572752025533 0.9996317626366935 -1.8413198916988891e-09 0.9997419212986215 0.0003630931913813605 -1.2322396228392485e-09
0.16 0.012563517218934606 0.09987937368445607 5.846773556104912e-06 6.376153424691999e-10 0.0004155273192924837 0.9995791911025814 -2.1042267754622923e-09 0.9997050781082175 0.00041494286447408754 -1.4081852871272726e-09
